,Election,OfficeName,CandidateID,CanFirstName,CanLastName,Votes,PartyAbbrev,CandidateName
523,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, PATRICK",23058,PATRICK T.,MURPHY - YES,1052419,,PATRICK T. MURPHY - YES
524,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, PATRICK",23059,PATRICK T.,MURPHY - NO,341604,,PATRICK T. MURPHY - NO
525,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, TIMOTHY",23060,TIMOTHY PATRICK,MURPHY - YES,1046121,,TIMOTHY PATRICK MURPHY - YES
526,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, TIMOTHY",23061,TIMOTHY PATRICK,MURPHY - NO,346166,,TIMOTHY PATRICK MURPHY - NO
527,GE 2016,COOK CIRCUIT - RETAIN RYAN,23064,JIM,RYAN - YES,1027629,,JIM RYAN - YES
528,GE 2016,COOK CIRCUIT - RETAIN RYAN,23065,JIM,RYAN - NO,358785,,JIM RYAN - NO
529,GE 2016,"COOK CIRCUIT - RETAIN WASHINGTON, II",23066,"EDWARD ""ED""","WASHINGTON, II - YES",1018269,,"EDWARD ""ED"" WASHINGTON, II - YES"
530,GE 2016,"COOK CIRCUIT - RETAIN WASHINGTON, II",23067,"EDWARD ""ED""","WASHINGTON, II - NO",353492,,"EDWARD ""ED"" WASHINGTON, II - NO"
531,GE 2016,COOK CIRCUIT - RETAIN WILSON,23068,THADDEUS L.,WILSON - YES,1028100,,THADDEUS L. WILSON - YES
532,GE 2016,COOK CIRCUIT - RETAIN WILSON,23069,THADDEUS L.,WILSON - NO,345121,,THADDEUS L. WILSON - NO
533,GE 2016,COOK CIRCUIT - RETAIN GRIFFIN,23070,JOHN C.,GRIFFIN - YES,1031276,,JOHN C. GRIFFIN - YES
534,GE 2016,COOK CIRCUIT - RETAIN GRIFFIN,23071,JOHN C.,GRIFFIN - NO,337575,,JOHN C. GRIFFIN - NO
535,GE 2016,COOK CIRCUIT - RETAIN PIERCE,23072,DANIEL JAMES,PIERCE - YES,1024966,,DANIEL JAMES PIERCE - YES
536,GE 2016,COOK CIRCUIT - RETAIN PIERCE,23073,DANIEL JAMES,PIERCE - NO,343794,,DANIEL JAMES PIERCE - NO
537,GE 2016,COOK CIRCUIT - RETAIN HOOKS,23074,WILLIAM H.,HOOKS - YES,1015558,,WILLIAM H. HOOKS - YES
538,GE 2016,COOK CIRCUIT - RETAIN HOOKS,23075,WILLIAM H.,HOOKS - NO,354410,,WILLIAM H. HOOKS - NO
539,GE 2016,COOK CIRCUIT - RETAIN LYONS,23076,THOMAS V.,LYONS - YES,1021538,,THOMAS V. LYONS - YES
540,GE 2016,COOK CIRCUIT - RETAIN LYONS,23077,THOMAS V.,LYONS - NO,345360,,THOMAS V. LYONS - NO
541,GE 2016,COOK CIRCUIT - RETAIN MITCHELL,23078,RAYMOND W.,MITCHELL - YES,1033103,,RAYMOND W. MITCHELL - YES
542,GE 2016,COOK CIRCUIT - RETAIN MITCHELL,23079,RAYMOND W.,MITCHELL - NO,334480,,RAYMOND W. MITCHELL - NO
543,GE 2016,COOK CIRCUIT - RETAIN HARMENING,23080,EDWARD,HARMENING - YES,992371,,EDWARD HARMENING - YES
544,GE 2016,COOK CIRCUIT - RETAIN HARMENING,23081,EDWARD,HARMENING - NO,370690,,EDWARD HARMENING - NO
545,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, ALLEN",23082,ALLEN F.,MURPHY - YES,1031681,,ALLEN F. MURPHY - YES
546,GE 2016,"COOK CIRCUIT - RETAIN MURPHY, ALLEN",23083,ALLEN F.,MURPHY - NO,340380,,ALLEN F. MURPHY - NO
547,GE 2016,COOK CIRCUIT - RETAIN MALONE,23084,DANIEL,MALONE - YES,1025323,,DANIEL MALONE - YES
548,GE 2016,COOK CIRCUIT - RETAIN MALONE,23085,DANIEL,MALONE - NO,345760,,DANIEL MALONE - NO
549,GE 2016,COOK CIRCUIT - RETAIN KULL,23086,GEARY W.,KULL - YES,971350,,GEARY W. KULL - YES
550,GE 2016,COOK CIRCUIT - RETAIN KULL,23087,GEARY W.,KULL - NO,384680,,GEARY W. KULL - NO
551,GE 2016,7TH CONGRESS,23088,JEFFREY A.,LEEF,46882,REP,JEFFREY A. LEEF
552,GE 2016,22ND SENATE,23089,TRACY,SMODILLA,21991,REP,TRACY SMODILLA
553,GE 2016,5TH CONGRESS,23090,VINCE,KOLBER,86222,REP,VINCE KOLBER
554,GE 2016,"COOK CIRCUIT - RETAIN CALLAHAN, JR.",23092,JOHN P.,"CALLAHAN, JR. - YES",1020985,,"JOHN P. CALLAHAN, JR. - YES"
555,GE 2016,"COOK CIRCUIT - RETAIN CALLAHAN, JR.",23093,JOHN P.,"CALLAHAN, JR. - NO",347269,,"JOHN P. CALLAHAN, JR. - NO"
556,GE 2016,"COOK CIRCUIT - RETAIN BERNSTEIN, STEVEN",23094,STEVEN JAMES,BERNSTEIN - YES,999567,,STEVEN JAMES BERNSTEIN - YES
557,GE 2016,"COOK CIRCUIT - RETAIN BERNSTEIN, STEVEN",23095,STEVEN JAMES,BERNSTEIN - NO,364467,,STEVEN JAMES BERNSTEIN - NO
558,GE 2016,COOK CIRCUIT - RETAIN COLEMAN,23096,BONITA,COLEMAN - YES,1026387,,BONITA COLEMAN - YES
559,GE 2016,COOK CIRCUIT - RETAIN COLEMAN,23097,BONITA,COLEMAN - NO,355809,,BONITA COLEMAN - NO
560,GE 2016,COOK CIRCUIT - RETAIN COLLINS,23098,ANN FINLEY,COLLINS - YES,1059720,,ANN FINLEY COLLINS - YES
561,GE 2016,COOK CIRCUIT - RETAIN COLLINS,23099,ANN FINLEY,COLLINS - NO,309604,,ANN FINLEY COLLINS - NO
562,GE 2016,COOK CIRCUIT - RETAIN GALLAGHER,23100,DANIEL J.,GALLAGHER - YES,1016748,,DANIEL J. GALLAGHER - YES
563,GE 2016,COOK CIRCUIT - RETAIN GALLAGHER,23101,DANIEL J.,GALLAGHER - NO,349396,,DANIEL J. GALLAGHER - NO
564,GE 2016,COOK CIRCUIT - RETAIN JOHNSON,23102,SHARON O.,JOHNSON - YES,1059200,,SHARON O. JOHNSON - YES
565,GE 2016,COOK CIRCUIT - RETAIN JOHNSON,23103,SHARON O.,JOHNSON - NO,313858,,SHARON O. JOHNSON - NO
566,GE 2016,COOK CIRCUIT - RETAIN JONES,23104,LINZEY D.,JONES - YES,1033687,,LINZEY D. JONES - YES
567,GE 2016,COOK CIRCUIT - RETAIN JONES,23105,LINZEY D.,JONES - NO,318486,,LINZEY D. JONES - NO
568,GE 2016,COOK CIRCUIT - RETAIN MACCARTHY,23106,TERRY,MacCARTHY  - YES,1031139,,TERRY MacCARTHY  - YES
569,GE 2016,COOK CIRCUIT - RETAIN MACCARTHY,23107,TERRY,MacCARTHY  - NO,328529,,TERRY MacCARTHY  - NO
570,GE 2016,COOK CIRCUIT - RETAIN RAMOS,23108,SANDRA G.,RAMOS  - YES,1069523,,SANDRA G. RAMOS  - YES
571,GE 2016,COOK CIRCUIT - RETAIN RAMOS,23109,SANDRA G.,RAMOS  - NO,318569,,SANDRA G. RAMOS  - NO
572,GE 2016,COOK CIRCUIT - RETAIN  KENNEDY SULLIVAN,23110,SUSAN,KENNEDY SULLIVAN  - YES,1093523,,SUSAN KENNEDY SULLIVAN  - YES
573,GE 2016,COOK CIRCUIT - RETAIN  KENNEDY SULLIVAN,23111,SUSAN,KENNEDY SULLIVAN  - NO,292719,,SUSAN KENNEDY SULLIVAN  - NO
574,GE 2016,111TH REPRESENTATIVE,23112,MIKE,BABCOCK,22353,REP,MIKE BABCOCK
